tracker_id,vehicle_class,violation_type,road_zone_id,frame_index,timestamp_sec,car_heading_deg,legal_heading_deg,angular_deviation
1,car,Wrong-Side Driving,2,4,0.16,262.9,91.9,171.0
2,car,Wrong-Side Driving,2,3,0.12,276.7,91.9,175.1
4,car,Wrong-Side Driving,2,5,0.2,267.9,91.9,176.1
5,car,Wrong-Side Driving,2,5,0.2,298.9,91.9,152.9
9,car,Wrong-Side Driving,2,18,0.72,298.2,91.9,153.6
19,car,Wrong-Side Driving,2,58,2.32,241.8,91.9,149.9
24,car,Wrong-Side Driving,2,84,3.36,295.6,91.9,156.3
26,car,Wrong-Side Driving,2,180,7.2,244.0,91.9,152.1
27,car,Wrong-Side Driving,2,145,5.8,233.1,91.9,141.2
28,car,Wrong-Side Driving,2,162,6.48,310.1,91.9,141.8
29,car,Wrong-Side Driving,2,185,7.4,251.4,91.9,159.5
30,car,Wrong-Side Driving,2,273,10.92,244.3,91.9,152.5
31,car,Wrong-Side Driving,2,324,12.96,244.8,91.9,152.9
36,car,Wrong-Side Driving,2,372,14.88,301.7,91.9,150.1
39,car,Wrong-Side Driving,2,412,16.48,246.0,91.9,154.2
42,car,Wrong-Side Driving,2,445,17.8,311.3,91.9,140.6
43,car,Wrong-Side Driving,2,460,18.4,236.4,91.9,144.6
45,car,Wrong-Side Driving,2,495,19.8,307.5,91.9,144.4
46,car,Wrong-Side Driving,2,501,20.04,251.9,91.9,160.0
47,car,Wrong-Side Driving,2,519,20.76,230.6,91.9,138.7
48,car,Wrong-Side Driving,2,542,21.68,250.3,91.9,158.4
50,car,Wrong-Side Driving,2,610,24.4,228.1,91.9,136.3
51,car,Wrong-Side Driving,2,619,24.76,229.0,91.9,137.2
52,car,Wrong-Side Driving,2,629,25.16,287.1,91.9,164.8
53,car,Wrong-Side Driving,2,648,25.92,289.5,91.9,162.3
57,car,Wrong-Side Driving,2,675,27.0,291.0,91.9,160.9
58,car,Wrong-Side Driving,2,726,29.04,287.9,91.9,164.0
59,car,Wrong-Side Driving,2,745,29.8,311.4,91.9,140.4
60,car,Wrong-Side Driving,2,758,30.32,247.2,91.9,155.3
61,car,Wrong-Side Driving,2,787,31.48,228.7,91.9,136.8
71,car,Wrong-Side Driving,2,838,33.52,314.0,91.9,137.9
79,car,Wrong-Side Driving,2,889,35.56,232.2,91.9,140.4
80,car,Wrong-Side Driving,2,894,35.76,232.3,91.9,140.5
89,car,Wrong-Side Driving,2,923,36.92,254.7,91.9,162.8
91,car,Wrong-Side Driving,2,947,37.88,298.0,91.9,153.9
94,car,Wrong-Side Driving,2,1000,40.0,245.2,91.9,153.4
99,car,Wrong-Side Driving,2,1051,42.04,239.6,91.9,147.7
103,car,Wrong-Side Driving,2,1077,43.08,310.0,91.9,141.8
14,truck,Wrong-Side Driving,2,25,1.0,259.3,91.9,167.5
34,truck,Wrong-Side Driving,2,358,14.32,230.5,91.9,138.6
54,truck,Wrong-Side Driving,2,662,26.48,231.3,91.9,139.4
70,truck,Wrong-Side Driving,2,872,34.88,233.2,91.9,141.3
