tracker_id,vehicle_class,stop_index,median_position_x,median_position_y,spawn_frame,death_frame,duration_sec,lower_timestamp,upper_timestamp
1,car,1,1091.42,56.02,148,479,13.28,5.92,19.16
6,car,1,1095.42,23.96,37,265,9.16,1.48,10.6
19,car,1,1158.66,50.03,287,678,15.68,11.48,27.12
29,car,1,1209.04,34.89,442,763,12.88,17.68,30.52
34,truck,1,1536.65,355.72,485,905,16.84,19.4,36.2
36,car,1,1024.42,53.88,577,703,5.08,23.08,28.12
42,car,1,1091.01,89.75,689,887,7.96,27.56,35.48
43,car,1,1180.6,94.84,713,789,3.08,28.52,31.56
54,car,1,1664.56,484.58,786,949,6.56,31.44,37.96
58,car,1,1111.83,124.78,948,1153,8.24,37.92,46.12
60,car,1,1183.07,93.45,1067,1147,3.24,42.68,45.88
71,car,1,1007.41,100.81,1054,1154,4.04,42.16,46.16
