tracker_id,vehicle_class,violation_type,road_zone_id,frame_index,timestamp_sec,car_heading_deg,legal_heading_deg,angular_deviation
1,car,Wrong-Side Driving,1,4,0.16,262.9,94.3,168.6
2,car,Wrong-Side Driving,1,3,0.12,276.7,94.3,177.6
4,car,Wrong-Side Driving,1,5,0.2,267.9,94.3,173.7
5,car,Wrong-Side Driving,1,5,0.2,298.9,94.3,155.3
9,car,Wrong-Side Driving,1,19,0.76,286.8,94.3,167.4
19,car,Wrong-Side Driving,1,58,2.32,241.8,94.3,147.5
24,car,Wrong-Side Driving,1,84,3.36,295.6,94.3,158.7
26,car,Wrong-Side Driving,1,180,7.2,244.0,94.3,149.7
27,car,Wrong-Side Driving,1,145,5.8,233.1,94.3,138.8
28,car,Wrong-Side Driving,1,163,6.52,292.4,94.3,161.8
29,car,Wrong-Side Driving,1,186,7.44,257.5,94.3,163.2
30,car,Wrong-Side Driving,1,273,10.92,244.3,94.3,150.1
31,car,Wrong-Side Driving,1,324,12.96,244.8,94.3,150.5
36,car,Wrong-Side Driving,1,371,14.84,318.4,94.3,135.9
39,car,Wrong-Side Driving,1,413,16.52,254.3,94.3,160.1
42,car,Wrong-Side Driving,1,445,17.8,311.3,94.3,143.0
43,car,Wrong-Side Driving,1,461,18.44,247.5,94.3,153.2
45,car,Wrong-Side Driving,1,495,19.8,307.5,94.3,146.8
46,car,Wrong-Side Driving,1,501,20.04,251.9,94.3,157.6
47,car,Wrong-Side Driving,1,519,20.76,230.6,94.3,136.3
48,car,Wrong-Side Driving,1,543,21.72,258.2,94.3,164.0
51,car,Wrong-Side Driving,1,620,24.8,234.6,94.3,140.3
52,car,Wrong-Side Driving,1,629,25.16,287.1,94.3,167.2
53,car,Wrong-Side Driving,1,648,25.92,289.5,94.3,164.7
57,car,Wrong-Side Driving,1,675,27.0,291.0,94.3,163.3
58,car,Wrong-Side Driving,1,726,29.04,287.9,94.3,166.4
59,car,Wrong-Side Driving,1,745,29.8,311.4,94.3,142.8
60,car,Wrong-Side Driving,1,758,30.32,247.2,94.3,152.9
61,car,Wrong-Side Driving,1,788,31.52,232.3,94.3,138.0
71,car,Wrong-Side Driving,1,838,33.52,314.0,94.3,140.3
79,car,Wrong-Side Driving,1,889,35.56,232.2,94.3,138.0
80,car,Wrong-Side Driving,1,895,35.8,242.6,94.3,148.3
89,car,Wrong-Side Driving,1,923,36.92,254.7,94.3,160.4
91,car,Wrong-Side Driving,1,947,37.88,298.0,94.3,156.3
94,car,Wrong-Side Driving,1,1000,40.0,245.2,94.3,150.9
99,car,Wrong-Side Driving,1,1052,42.08,248.4,94.3,154.2
103,car,Wrong-Side Driving,1,1077,43.08,310.0,94.3,144.2
14,truck,Wrong-Side Driving,1,25,1.0,259.3,94.3,165.1
34,truck,Wrong-Side Driving,1,358,14.32,230.5,94.3,136.2
54,truck,Wrong-Side Driving,1,662,26.48,231.3,94.3,137.0
70,truck,Wrong-Side Driving,1,873,34.92,236.6,94.3,142.3
3,car,Wrong-Side Driving,2,3,0.12,105.7,310.8,154.9
62,car,Wrong-Side Driving,2,786,31.44,168.6,310.8,142.2
64,car,Wrong-Side Driving,2,810,32.4,163.4,310.8,147.4
78,car,Wrong-Side Driving,2,853,34.12,88.9,310.8,138.0
85,car,Wrong-Side Driving,2,903,36.12,107.1,310.8,156.3
88,car,Wrong-Side Driving,2,915,36.6,156.9,310.8,153.9
96,car,Wrong-Side Driving,2,1017,40.68,165.8,310.8,145.0
98,car,Wrong-Side Driving,2,1032,41.28,135.4,310.8,175.4
104,car,Wrong-Side Driving,2,1072,42.88,162.7,310.8,148.1
108,car,Wrong-Side Driving,2,1134,45.36,155.4,310.8,155.4
113,car,Wrong-Side Driving,2,1173,46.92,145.4,310.8,165.4
35,motorcycle,Wrong-Side Driving,2,364,14.56,106.9,310.8,156.1
40,motorcycle,Wrong-Side Driving,2,403,16.12,166.5,310.8,144.3
87,truck,Wrong-Side Driving,2,913,36.52,169.5,310.8,141.3
101,truck,Wrong-Side Driving,2,1060,42.4,170.0,310.8,140.8
110,truck,Wrong-Side Driving,2,1141,45.64,166.4,310.8,144.4
