tracker_id,vehicle_class,violation_type,road_zone_id,frame_index,timestamp_sec,car_heading_deg,legal_heading_deg,angular_deviation
3,car,Wrong-Side Driving,1,3,0.12,105.7,317.0,148.7
62,car,Wrong-Side Driving,1,786,31.44,168.6,317.0,148.4
64,car,Wrong-Side Driving,1,810,32.4,163.4,317.0,153.6
78,car,Wrong-Side Driving,1,854,34.16,100.0,317.0,142.9
85,car,Wrong-Side Driving,1,903,36.12,107.1,317.0,150.1
88,car,Wrong-Side Driving,1,915,36.6,156.9,317.0,160.1
96,car,Wrong-Side Driving,1,1017,40.68,165.8,317.0,151.2
98,car,Wrong-Side Driving,1,1032,41.28,135.4,317.0,178.4
104,car,Wrong-Side Driving,1,1072,42.88,162.7,317.0,154.3
108,car,Wrong-Side Driving,1,1134,45.36,155.4,317.0,161.6
113,car,Wrong-Side Driving,1,1173,46.92,145.4,317.0,171.6
35,motorcycle,Wrong-Side Driving,1,364,14.56,106.9,317.0,149.9
40,motorcycle,Wrong-Side Driving,1,403,16.12,166.5,317.0,150.5
87,truck,Wrong-Side Driving,1,910,36.4,182.0,317.0,135.0
101,truck,Wrong-Side Driving,1,1060,42.4,170.0,317.0,147.0
110,truck,Wrong-Side Driving,1,1141,45.64,166.4,317.0,150.6
